counter,value
1,170.0
2,130.0
3,110.0
4,90
5,82
6,82
7,84
8,81
9,81
10,82
11,83
12,2000.0
13,2000.0
14,17000.0
15,17000.0
16,18000.0
17,31000.0
18,31000.0
19,31000.0
20,32000.0
21,31000.0
22,60000.0
23,60000.0
24,60000.0
25,38000.0
26,60000.0
27,60000.0
28,59000.0
29,60000.0
30,60000.0
31,32000.0
32,59000.0
33,60000.0
34,59000.0
35,59000.0
36,59000.0
37,47000.0
38,59000.0
39,60000.0
40,41000.0
41,54000.0
42,31000.0
43,31000.0
44,59000.0
45,31000.0
46,31000.0
47,59000.0
48,59000.0
49,59000.0
50,59000.0
51,31000.0
52,28000.0
53,26000.0
54,20000.0
55,14000.0
56,13000.0
57,15000.0
58,14000.0
59,16000.0
60,59000.0
61,19000.0
62,11000.0
63,12000.0
64,15000.0
65,16000.0
66,59000.0
67,15000.0
68,12000.0
69,17000.0
70,16000.0
71,23000.0
72,25000.0
73,25000.0
74,140.0
75,16000.0
76,16000.0
77,6900.0
78,13000.0
79,13000.0
80,140.0
81,150.0
82,140.0
83,120.0
84,41000.0
85,44000.0
86,59000.0
87,43000.0
88,610.0
89,140.0
90,94
91,91
92,85
93,85
94,86
95,83
96,82
97,85
98,81
99,76
100,130.0
101,130.0
102,120.0
103,43000.0
104,44000.0
105,59000.0
106,59000.0
107,60000.0
108,59000.0
109,84
110,79
111,80
112,140.0
113,130.0
114,80
115,85
116,53000.0
117,1700.0
118,98
119,93
120,85
121,83
122,83
123,76
124,78
125,77
126,77
127,79
128,80
129,160.0
130,160.0
131,160.0
132,59000.0
133,60000.0
134,59000.0
135,80
136,79
137,77
138,79
139,80
140,78
141,140.0
142,140.0
143,120.0
144,59000.0
145,60000.0
146,60000.0
147,78
148,78
149,78
150,160.0
151,210.0
152,140.0
153,91
154,88
155,79
156,76
157,79
158,76
159,76
160,140.0
161,140.0
162,76
163,140.0
164,48000.0
165,59000.0
166,60000.0
167,60000.0
168,74
169,81
170,80
171,79
172,98
173,140.0
174,130.0
175,76
176,59000.0
177,59000.0
178,60000.0
179,59000.0
180,5600.0
181,150.0
182,91
183,92
184,88
185,86
186,130.0
187,80
188,88
189,80
190,77
191,77
192,140.0
193,140.0
194,80
195,59000.0
196,59000.0
197,60000.0
198,130.0
199,77
200,130.0
201,140.0
202,78
203,77
204,79
205,91
206,82
207,81
208,59000.0
209,300.0
210,98
211,93
212,85
213,82
214,78
215,77
216,78
217,77
218,76
219,79
220,78
221,77
222,49000.0
223,52000.0
224,60000.0
225,60000.0
226,80
227,78
228,77
229,76
230,77
231,77
232,77
233,77
234,150.0
235,59000.0
236,57000.0
237,340.0
238,83
239,76
240,76
241,76
242,77
243,76
244,78
245,81
246,160.0
247,160.0
248,150.0
249,60000.0
250,60000.0
251,110.0
252,75
253,75
254,74
255,74
256,76
257,77
258,150.0
259,220.0
260,150.0
261,59000.0
262,60000.0
263,59000.0
264,160.0
265,15000.0
266,93
267,79
268,140.0
269,80
270,76
271,79
272,160.0
273,190.0
274,59000.0
275,59000.0
276,79
277,52000.0
278,59000.0
279,60000.0
280,59000.0
281,78
282,76
283,76
284,160.0
285,160.0
286,59000.0
287,59000.0
288,140.0
289,59000.0
290,59000.0
291,60000.0
292,59000.0
293,77
294,77
295,77
296,230.0
297,32000.0
298,32000.0
299,33000.0
300,11000.0
301,11000.0
302,9800.0
303,9700.0
304,12000.0
305,27000.0
306,25000.0
307,22000.0
308,34000.0
309,35000.0
310,34000.0
311,150.0
312,88
313,90
314,140.0
315,140.0
316,130.0
317,150.0
318,200.0
319,150.0
320,130.0
321,85
322,140.0
323,89
324,77
325,77
326,77
327,130.0
328,130.0
329,140.0
330,170.0
331,150.0
332,140.0
333,80
334,140.0
335,130.0
336,78
337,77
338,77
339,87
340,140.0
341,130.0
342,170.0
343,190.0
344,150.0
345,140.0
346,150.0
347,140.0
348,79
349,77
350,78
351,80
352,140.0
353,130.0
354,150.0
355,180.0
356,150.0
357,130.0
358,130.0
359,150.0
360,84
361,79
362,77
363,78
364,130.0
365,140.0
366,150.0
367,180.0
368,150.0
369,140.0
370,130.0
371,150.0
372,120.0
373,78
374,77
375,77
376,86
377,210.0
378,260.0
379,150.0
380,150.0
381,150.0
382,150.0
383,79
384,79
