Label,Instance A,Instance B,Instance C,Instance D
12/20/23 9:10,10234104.8,,,
12/20/23 9:15,29150910.8,3753299.6666666665,,
12/20/23 9:20,29252465.8,14731166.2,130452,
12/20/23 9:25,27185997.4,39838819.4,48994,
12/20/23 9:30,21180859.2,14616180.2,49724.4,21179042.6
12/20/23 9:35,17769402.6,10938972,159381.8,20781658.6
12/20/23 9:40,21803884.8,17202769.6,231722.6,22306366.6
12/20/23 9:45,21890241.4,22549742.2,353326.8,22354175
12/20/23 9:50,18984818.2,7733072,580560,20414843.2
12/20/23 9:55,19090422.6,50878586.8,579041.2,20542069
12/20/23 10:00,19052515.2,7229029.6,578711.8,19128298
12/20/23 10:05,20939421,9305480.6,567753.8,20895471.4
