Label,Instance C,Instance A,Instance D,Instance B
12/20/23 9:20,,15.796910989503408,,13.771398881081424
12/20/23 9:25,8.729335501,18.68963692059391,,20.575064265615183
12/20/23 9:30,13.376595973400441,14.879919391324979,,13.651623008340692
12/20/23 9:35,11.974831321528876,11.294874705714628,,12.995101868191261
12/20/23 9:40,14.511945355022988,11.823571763090772,10.078217565931814,16.726664728087904
12/20/23 9:45,15.30500294932784,7.156586461377228,8.480153895759177,12.65503104039955
12/20/23 9:50,11.418288890800914,5.871650195330089,6.323449901698923,11.438380501984273
12/20/23 9:55,20.376624647124277,10.520372515669544,11.09490022535642,20.52686329664923
12/20/23 10:00,11.340205679070726,5.891669123406701,6.255047217135496,11.198135847956879
12/20/23 10:05,15.179869025840565,6.446700408009413,6.843331976912599,12.448624515403736
12/20/23 10:10,19.23487734085002,9.811653522980052,13.554284067633294,18.693294005567758
